cycle_id,avg_feed_per_day,avg_growth_feed
11424,8.33,0.34
11509,6.34,0.04
11522,2.38,0.16
11523,4.03,0.07
11524,5.62,0.1
11544,13.91,0.15
11545,10.37,0.11
11609,28.56,0.18
11618,9.14,0.02
11632,10.5,0.13
11637,1.88,0.0
11638,11.15,0.22
11639,10.36,0.2
11642,2.98,0.04
11675,10.62,0.01
11680,5.79,0.11
11683,5.17,0.18
11741,7.91,0.1
11773,4.87,0.07
11774,18.27,0.02
11775,3.7,0.02
11777,8.1,0.08
11789,19.05,0.39
11797,5.19,0.05
11808,11.54,0.06
11847,2.63,0.05
11848,2.59,0.11
11851,1.5,0.04
11852,5.33,0.03
11853,1.34,0.01
11854,4.57,0.06
11889,5.8,0.08
11922,48.34,0.69
11923,113.2,1.85
11926,94.58,1.17
11927,110.28,1.77
11928,84.79,1.29
11929,255.87,2.65
11930,137.55,2.18
11931,53.58,0.73
12021,16.86,0.2
12025,38.57,0.7
12046,7.89,0.2
12065,98.27,0.16
12067,99.46,0.96
12072,69.62,0.12
12131,6.55,0.56
12163,2.55,0.01
12323,3.85,0.12
12324,4.33,0.1
12325,10.17,0.29
12332,17.79,0.39
12336,10.88,0.1
12341,14.19,0.21
12343,8.45,0.23
12347,20.99,-0.96
12348,17.63,0.34
12349,14.74,0.4
12350,17.27,0.18
12351,66.35,0.18
12353,16.03,0.11
12354,15.03,0.07
12357,15.25,0.09
12359,16.93,0.08
12361,14.06,0.06
12362,15.12,0.07
12436,4.45,0.16
12439,4.86,0.0
12453,22.85,0.21
12481,9.27,0.08
12482,16.26,0.37
12484,18.57,0.07
12491,19.74,0.08
12504,15.27,0.0
12505,16.2,0.04
12506,16.15,-0.02
12558,10.11,0.61
12572,28.74,0.87
12576,9.55,1.26
12592,1.89,-0.06
12595,10.61,0.89
12596,3.31,0.07
12597,3.24,0.25
12639,8.77,0.32
12705,10.11,0.07
12716,5.46,0.04
12717,5.48,0.02
12724,5.59,0.06
12725,6.12,0.01
12839,2.5,0.2
12850,26.85,0.14
12851,35.97,0.15
12852,25.14,0.13
12853,4.67,0.04
12854,27.32,0.16
12855,28.17,0.28
12856,16.28,0.18
12857,4.29,0.03
12858,61.6,0.48
12859,50.36,0.39
12860,47.63,0.38
12861,57.6,0.35
12862,19.83,0.14
12863,57.27,0.38
12864,37.15,0.33
12865,30.91,0.29
12866,15.95,0.14
12867,24.39,0.13
12868,7.84,0.07
12869,4.74,0.04
12937,2.18,0.08
12978,3.59,0.01
13024,8.93,0.06
13112,4.06,0.0
13114,49.26,0.94
13117,8.48,-0.01
13166,19.19,0.64
13198,22.21,0.24
13308,70.13,1.77
13414,28.16,0.26
13419,27.93,0.36
13420,25.18,0.46
13432,20.63,0.38
13443,8.56,0.21
13451,6.86,0.0
13452,5.94,0.01
13582,0.79,0.04
13583,4.0,0.04
13667,12.42,0.07
13710,5.68,0.01
13774,17.85,0.02
13777,70.25,0.67
13791,6.49,0.01
13888,23.92,0.06
13892,23.87,0.03
13913,21.86,0.25
14045,37.52,0.3
14046,38.2,0.38
14047,32.84,0.1
14071,1.3,0.04
14072,1.46,0.03
14094,3.88,0.02
14095,4.88,0.0
14096,8.86,0.02
14097,7.61,-0.01
14114,11.97,0.36
14154,27.69,0.09
14155,19.83,0.08
14220,70.16,0.02
14223,72.24,0.78
14289,24.64,0.12
14324,15.7,0.05
14325,16.71,0.05
14326,17.15,0.05
14327,16.29,0.12
14328,17.47,0.23
14329,16.82,0.22
14344,0.13,0.0
14345,0.13,0.0
14346,0.27,0.0
14368,38.08,0.35
14437,4.71,-0.01
14438,2.15,0.0
14439,2.43,0.0
14440,2.82,0.01
14506,7.08,0.1
14522,23.98,0.87
14576,13.0,0.01
14577,12.84,0.0
14578,12.91,0.0
14579,10.7,0.08
14580,3.53,0.0
14583,51.28,0.46
14585,28.44,0.61
14586,20.93,0.42
14587,31.72,0.25
14604,70.29,0.81
14614,4.79,0.08
14630,3.64,0.0
14679,2.94,0.03
14691,101.27,0.16
14692,49.0,0.8
14693,2.24,0.01
14821,31.29,0.28
14822,32.5,0.3
14824,48.04,0.2
14875,1.68,0.02
14877,3.99,0.02
14878,4.34,0.01
14972,20.84,0.1
15005,4.5,0.04
15006,5.52,0.06
15007,3.23,0.05
15008,3.29,0.05
15009,2.59,0.03
15010,2.87,0.04
15011,1.85,0.03
15012,1.24,0.02
15013,1.64,0.03
15014,1.71,0.03
15015,9.39,0.08
15016,9.84,0.1
15017,8.63,0.08
15060,1.19,0.0
15067,3.14,0.0
15106,2.15,0.01
15107,2.13,0.01
15108,1.6,0.0
15213,0.31,0.0
15214,0.08,0.0
15215,0.04,0.0
15216,0.04,0.0
15217,0.04,0.0
15219,0.05,0.0
15221,0.05,0.0
15288,14.09,0.27
15289,16.16,0.1
15300,139.03,1.12
15301,18.52,0.29
15303,35.82,0.35
15304,61.34,1.18
15305,124.91,1.1
15306,139.06,2.98
15307,66.33,0.76
15308,64.57,2.28
15309,108.86,1.52
15310,122.32,1.74
15312,32.25,0.32
15316,63.68,0.83
15399,23.47,0.06
15402,27.37,0.0
15404,39.89,0.41
15405,15.11,0.26
15406,9.73,0.45
15413,114.73,1.37
15432,23.78,0.19
15433,20.39,0.18
15434,24.35,0.04
15435,51.56,0.57
15462,5.45,0.0
15482,12.69,0.16
15483,17.07,0.2
15484,12.68,0.17
15485,8.48,0.1
15486,9.86,0.1
15487,14.92,0.24
15488,10.7,0.0
15490,6.32,0.08
15491,2.47,0.01
15492,2.62,0.01
15493,5.61,0.04
15494,5.73,0.03
15495,2.98,0.0
15496,1.78,0.0
15497,3.09,0.01
15498,3.49,0.0
15499,3.15,0.0
15500,1.61,0.0
15502,4.76,0.03
15503,2.96,0.0
15504,3.51,0.0
15505,3.9,0.01
15507,7.38,0.01
15508,7.96,0.0
15509,3.89,0.01
15510,1.29,0.0
15511,5.18,0.0
15512,12.15,0.04
15513,4.41,0.02
15514,4.74,0.02
15515,5.53,0.02
15516,4.58,0.01
15517,2.31,0.0
15568,7.54,0.05
15640,8.02,0.38
15641,3.36,0.11
15660,1.31,0.0
15662,2.96,0.01
15682,12.12,0.06
15749,5.07,0.06
15750,2.97,0.02
15752,13.53,0.02
15754,5.84,0.02
15756,5.76,0.01
15757,7.54,0.01
15758,4.54,0.02
15762,5.64,0.02
15763,8.67,0.03
15766,11.69,0.04
15767,16.31,0.04
15768,8.93,0.04
15769,6.56,0.01
15772,1.3,0.0
15773,9.31,0.01
15774,8.02,0.0
15775,6.0,0.04
15778,17.39,0.14
15782,1.06,0.01
15783,2.23,0.0
15784,2.48,-0.02
15785,1.76,0.01
15786,6.67,0.06
15787,37.81,0.43
15789,2.05,0.01
15790,30.9,0.02
15791,19.8,-0.02
15802,8.81,0.02
15803,3.58,0.02
15804,2.79,0.0
15805,2.22,0.01
15809,2.51,0.02
15810,4.69,0.01
15811,8.62,0.24
15813,13.33,0.2
15814,10.09,0.08
15819,15.25,0.09
15832,1.12,0.05
15835,9.63,0.01
15836,7.9,0.03
15841,0.51,0.0
15844,2.27,0.0
15853,3.19,0.02
15868,3.58,0.01
15869,3.52,0.01
15935,4.14,0.02
15936,6.33,0.01
15940,2.22,0.08
15941,7.16,0.13
15942,2.63,0.0
15970,35.31,0.15
15977,16.89,0.04
15980,4.96,0.27
15981,5.25,0.19
15982,8.97,0.03
15983,7.43,0.03
16006,8.87,0.02
16008,30.69,0.47
16038,41.74,-0.05
16039,44.92,0.02
16040,17.44,-0.03
16041,43.52,0.08
16042,39.89,0.13
16044,48.96,0.21
16045,34.95,0.01
16046,7.97,0.01
16047,4.8,0.03
16048,6.08,0.02
16049,5.51,0.01
16050,7.31,0.01
16051,6.09,0.01
16052,4.04,0.01
16053,4.39,0.0
16054,3.58,0.03
16055,5.54,0.0
16056,4.01,0.01
16057,12.73,0.01
16058,13.48,0.01
16059,23.96,0.05
16064,1.99,0.07
16065,8.52,0.02
16067,2.86,0.01
16083,0.66,0.0
16086,8.77,0.05
16089,1.45,0.01
16090,0.38,0.0
16091,6.05,0.01
16092,2.0,0.09
16107,13.21,0.15
16108,10.45,0.15
16130,0.29,0.0
16135,0.53,0.03
16136,0.47,0.01
16137,0.33,0.0
16138,0.37,0.0
16142,5.38,0.02
16154,3.23,0.01
16155,3.46,0.01
16156,3.71,0.01
16157,2.9,0.01
16158,2.62,0.0
16159,1.96,0.0
16160,4.09,0.01
16161,2.14,0.0
16162,4.66,0.02
16163,2.63,0.01
16164,6.46,0.05
16165,4.67,0.01
16166,3.99,0.01
16167,1.98,0.0
16170,2.02,0.01
16215,247.88,0.14
16216,5.59,0.08
16250,7.05,0.14
16251,0.12,0.0
16252,0.13,0.0
16253,0.34,0.0
16267,8.32,0.01
16271,3.67,0.02
16272,2.1,0.01
16275,6.29,0.12
16278,37.41,0.19
16293,7.32,0.02
16294,4.55,0.01
16298,4.79,0.07
16323,12.23,0.01
16325,3.7,0.02
16327,43.81,0.78
16328,48.29,0.78
16329,48.52,0.58
16330,81.83,1.43
16331,52.63,0.9
16332,53.66,0.97
16333,54.39,1.32
16334,56.43,1.53
16335,47.23,0.36
16336,57.49,0.9
16337,72.56,1.01
16338,74.44,0.98
16339,57.18,0.81
16340,59.52,0.75
16341,51.69,0.22
16342,46.27,0.03
16343,49.49,0.35
16344,43.03,0.38
16345,48.67,0.12
16347,64.61,0.83
16348,57.21,0.74
16349,41.3,0.04
16350,50.8,0.23
16351,34.06,0.27
16352,45.69,0.0
16354,48.9,0.18
16356,38.0,0.04
16358,54.19,0.58
16360,57.77,0.38
16361,80.12,0.13
16363,79.08,0.34
16365,90.28,0.82
16372,2.67,0.05
16374,3.72,0.01
16384,1.87,0.01
16394,75.17,0.35
16398,2.13,0.04
16415,2.81,0.02
16424,5.71,0.09
16428,3.0,0.01
16429,2.18,0.01
16465,0.55,0.0
16469,5.75,0.03
16483,2.09,0.01
16485,35.43,0.28
16486,49.66,0.51
16487,21.89,0.28
16488,45.02,0.23
16489,28.14,0.25
16497,34.27,0.2
16498,40.38,0.11
16499,40.05,0.15
16500,16.08,0.33
16501,40.46,0.28
16502,46.65,0.08
16503,27.65,0.45
16509,9.53,0.07
16512,7.59,0.01
16513,6.85,0.03
16525,4.16,0.02
16563,5.44,0.01
16573,3.27,0.01
16575,13.15,-0.01
16588,3.76,0.01
16611,13.32,0.04
16616,11.53,0.12
16624,18.65,0.38
16625,26.58,0.33
16626,5.86,0.07
16636,7.49,0.03
16637,6.47,0.02
16655,4.54,0.12
16661,31.43,0.15
16666,11.92,0.04
16675,27.65,0.25
16708,9.65,0.01
16709,9.66,0.03
16711,9.53,0.03
16712,10.0,0.03
16755,4.52,0.02
16776,3.06,0.0
16799,4.45,0.01
16800,4.39,0.01
16801,3.59,0.01
16802,3.65,0.01
16803,1.63,0.0
16810,0.55,0.01
16811,4.77,0.04
16842,11.1,0.05
16845,8.33,0.11
16880,5.53,0.02
16910,11.73,0.13
16922,19.23,0.06
16938,18.95,0.05
16940,18.8,0.06
16941,18.95,0.06
16942,18.43,0.05
16947,11.42,0.07
16952,15.37,0.06
16958,35.76,-0.01
16961,8.99,0.1
17031,0.45,0.01
17032,2.2,0.0
17033,4.96,0.02
17034,10.96,-0.2
17042,9.07,0.15
17043,5.61,0.03
17044,59.45,0.11
17050,47.69,0.08
17063,98.67,0.03
17065,95.35,0.03
17076,17.58,0.06
17112,15.17,0.32
17117,4.72,0.01
17125,6.75,0.01
17126,6.96,0.02
17162,5.31,-0.01
17186,1.92,0.01
17187,1.92,0.01
17188,3.06,0.02
17189,2.58,0.01
17191,8.53,0.03
17192,5.03,0.02
17193,5.33,0.01
17194,7.62,0.03
17201,2.62,0.01
17218,1.47,0.01
17225,21.13,-0.01
17233,38.37,0.2
17263,0.43,0.01
17266,22.25,0.06
17269,33.51,0.65
17277,2.56,0.03
17278,0.8,0.01
17306,9.24,0.08
17307,13.13,0.23
17325,8.7,0.04
17327,5.78,0.01
17329,5.25,-0.01
17330,8.98,0.05
17339,11.17,-0.21
17364,4.08,0.06
17375,0.41,0.0
17377,17.25,0.29
17378,11.07,0.19
17384,55.59,0.38
17385,72.16,0.47
17386,3.39,0.03
17388,32.47,0.11
17401,45.68,0.0
17402,40.88,0.22
17403,17.78,0.02
17404,11.45,0.06
17405,19.63,0.04
17409,1.25,0.03
17436,1.92,0.01
17437,1.94,0.01
17438,1.92,0.01
17439,1.93,0.01
17449,31.29,0.03
17450,26.82,0.06
17451,26.14,0.04
17452,17.61,0.04
17453,17.58,0.04
17456,5.99,0.05
17468,3.23,0.05
17475,13.74,0.31
17532,17.62,0.04
17537,10.42,0.22
17563,23.63,0.02
17574,14.19,0.02
17575,34.94,0.23
17581,10.68,0.09
17589,18.97,0.12
17609,47.26,0.05
17624,6.11,0.04
17625,4.99,0.02
17626,3.84,0.04
17627,4.88,0.03
17628,22.97,0.13
17631,19.0,0.04
17632,15.66,0.04
17633,20.87,0.04
17634,16.79,0.04
17636,17.06,0.05
17637,17.26,0.04
17638,17.09,0.04
17639,17.55,0.04
17640,16.02,0.01
17686,10.88,0.05
17687,8.89,0.06
17693,19.0,0.03
17696,17.51,0.03
17704,8.15,0.06
17706,20.99,0.2
17717,28.76,0.59
17718,23.16,0.22
17719,22.04,0.22
17720,48.8,0.11
17721,46.56,0.15
17726,65.42,0.81
17727,82.81,0.86
17728,87.19,0.6
17729,70.68,0.38
17730,78.6,0.88
17732,40.42,0.19
17733,68.99,0.41
17734,76.03,0.84
17735,37.09,0.48
17736,55.32,0.15
17738,72.91,0.4
17739,38.66,0.45
17740,75.94,0.38
17741,64.21,0.71
17742,58.78,0.42
17743,32.79,0.39
17744,62.33,0.39
17745,63.9,0.4
17746,61.47,0.4
17747,58.6,0.76
17749,65.66,0.55
17750,26.63,0.08
17751,67.52,0.12
17752,69.32,0.56
17753,67.03,0.26
17766,0.94,0.02
17814,6.89,0.13
17828,0.15,0.0
17831,6.76,0.06
17832,5.33,0.07
17833,8.27,0.38
17834,2.21,0.06
17835,1.79,0.01
17841,3.55,0.1
17857,8.7,0.11
17860,3.89,0.02
17874,5.8,0.13
17875,3.8,0.02
17879,8.27,0.03
17880,10.84,0.04
17881,21.39,0.09
17882,18.99,0.07
17883,21.37,0.08
17884,26.26,0.15
17885,13.72,0.06
17887,2.7,0.04
17941,12.38,0.07
17945,1.42,0.09
17946,13.03,0.6
18025,20.97,0.15
18027,2.41,0.01
18028,5.8,0.04
18029,6.03,0.03
18036,10.57,0.01
18055,14.85,0.06
18056,21.78,0.08
18057,14.0,0.07
18058,15.61,0.22
18059,12.81,0.07
18103,4.07,0.14
18108,2.72,0.04
18127,2.4,0.01
18128,2.74,0.01
18129,2.7,0.01
18130,2.38,0.01
18132,0.96,0.0
18133,2.53,0.01
18134,2.59,0.01
18140,7.21,0.0
18142,9.35,0.03
18148,20.26,0.15
18149,28.17,0.16
18166,13.63,0.08
18223,16.25,0.03
18224,16.82,0.28
18230,69.2,0.44
18231,64.52,0.53
18232,71.64,0.5
18233,79.04,0.75
18234,77.22,0.12
18235,67.85,0.39
18237,4.82,0.02
18238,4.02,0.01
18241,25.54,0.2
18248,1.55,0.0
18249,1.55,0.0
18253,6.82,0.01
18269,64.38,0.67
18277,10.49,0.01
18292,0.28,0.0
18293,0.33,0.0
18324,2.0,0.02
18325,3.16,0.03
18326,2.37,0.02
18327,6.32,0.07
18337,1.05,0.02
18359,4.73,0.01
18360,0.51,0.02
18361,8.6,0.03
18362,9.06,0.02
18363,10.23,0.04
18367,10.83,0.04
18370,7.58,0.0
18395,6.57,0.01
18396,23.63,0.17
18403,4.12,0.0
18404,2.0,0.01
18405,6.17,0.02
18407,3.2,0.02
18424,9.28,0.02
18427,1.56,0.01
18431,13.32,0.08
18446,22.58,0.14
18447,13.57,0.08
18465,7.34,0.02
18466,6.1,0.02
18467,3.19,0.02
18468,7.3,0.03
18473,33.92,0.3
18483,27.98,0.26
18484,33.96,0.41
18488,29.63,0.2
18492,0.45,0.01
18513,1.88,0.02
18514,0.41,0.01
18515,0.41,0.01
18516,10.98,0.14
18518,51.26,0.75
18521,34.63,0.64
18523,29.8,0.0
18535,19.4,0.08
18536,19.91,0.1
18537,14.21,0.03
18538,19.34,0.03
18541,0.19,0.0
18542,0.19,0.0
18543,0.38,0.02
18544,0.25,0.04
18545,0.68,0.01
18559,0.12,0.02
18560,0.31,0.01
18590,4.78,0.0
18591,19.67,0.05
18600,0.34,0.02
18603,36.62,0.4
18604,39.9,0.65
18606,11.88,0.01
18607,9.12,0.01
18608,5.96,0.03
18609,10.18,0.01
18610,10.19,0.06
18611,11.12,0.01
18613,4.83,0.05
18614,10.8,0.05
18615,2.33,0.08
18616,9.79,0.02
18620,28.06,0.07
18621,17.25,0.29
18626,0.68,0.0
18627,2.48,0.01
18631,12.32,0.0
18633,18.15,0.14
18635,28.52,0.58
18637,29.29,0.49
18669,16.45,0.05
18670,15.97,0.0
18671,20.34,0.06
18672,17.08,0.05
18673,16.77,0.02
18674,14.34,0.04
18675,9.96,0.03
18676,11.92,0.04
18677,12.86,0.04
18678,17.64,0.06
18679,1.54,0.0
18680,0.71,0.01
18726,92.49,0.54
18732,115.63,0.51
18733,106.04,0.81
18734,113.41,0.49
18735,70.21,0.5
18736,100.49,0.61
18737,128.68,0.98
18739,73.43,0.64
18740,105.15,0.6
18741,110.43,0.74
18742,94.53,0.69
18743,126.41,0.75
18744,128.05,0.87
18745,112.25,0.78
18746,81.94,0.92
18747,92.18,2.94
18748,87.54,0.59
18749,83.52,0.38
18750,33.61,0.24
18751,99.84,0.57
18753,29.63,0.41
18754,10.67,0.4
18755,50.0,0.0
18759,61.25,0.0
18760,8.07,0.16
18761,23.53,0.51
18776,17.7,0.02
18789,10.98,0.06
18803,0.88,0.0
18817,16.57,0.02
18819,15.23,0.44
18820,12.43,0.37
18827,9.35,0.1
18828,3.59,0.01
18829,3.87,0.03
18831,7.18,0.02
18832,8.59,0.02
18833,6.28,0.02
18834,6.23,0.02
18872,6.93,0.11
18876,10.04,0.04
18877,13.68,0.04
18887,0.4,0.01
18901,18.06,0.09
18902,11.48,0.05
18911,21.16,0.12
18912,15.17,0.09
18918,209.99,3.07
18919,98.96,0.95
18920,71.87,0.72
18921,122.63,1.43
18922,98.04,0.81
18923,104.6,1.31
18924,76.84,1.01
18925,95.01,1.02
18937,0.89,0.02
18952,11.39,0.08
18958,16.11,0.03
18975,13.43,0.05
18976,38.7,0.44
18989,14.67,0.02
18996,4.89,0.1
19044,16.65,0.02
19047,11.27,0.04
19049,19.12,0.08
19050,13.86,0.05
19061,11.28,0.0
19062,13.09,0.02
19063,5.91,0.01
19064,9.74,0.0
19065,13.3,0.02
19066,2.71,0.0
19067,12.68,0.02
19068,9.49,0.02
19069,8.95,0.03
19070,12.99,0.03
19072,14.78,0.02
19077,1.08,0.0
19078,2.21,0.01
19088,11.16,0.1
19090,21.44,0.08
19092,21.72,0.08
19097,0.1,0.0
19098,15.66,0.03
19124,1.65,0.01
19131,16.4,0.03
19169,14.73,0.03
19214,15.54,0.03
19222,15.14,0.04
19238,5.22,0.01
19239,5.88,0.01
19247,9.81,0.01
19252,6.48,0.01
19253,5.57,0.0
19261,12.99,0.11
19294,8.98,0.0
19296,9.13,0.0
19297,9.64,0.0
19298,10.04,0.03
19299,9.11,0.0
19300,9.34,0.01
19301,8.95,0.0
19302,9.39,0.03
19303,9.04,0.0
19304,9.01,0.0
19305,9.68,0.0
19306,9.18,0.01
19307,10.89,0.04
19308,9.84,0.03
19309,9.88,0.0
19310,9.57,0.0
19311,10.11,0.0
19312,10.05,0.01
19313,10.88,0.0
19314,9.66,0.01
19315,9.52,0.0
19316,9.62,0.02
19317,9.22,0.0
19318,9.7,0.04
19319,9.57,0.0
19320,9.91,0.0
19321,9.87,0.0
19322,9.9,0.0
19323,10.02,0.0
19324,10.42,0.0
19366,19.71,0.11
19367,20.03,0.13
19368,6.89,0.19
19369,22.3,0.1
19370,22.62,0.12
19372,21.07,0.11
19373,10.44,0.16
19375,9.11,0.12
19433,16.42,0.03
19471,15.46,0.03
19483,9.84,0.02
19484,10.91,0.02
19492,1.27,0.02
19508,1.06,0.0
19518,11.33,0.03
19519,14.34,0.04
19529,8.55,0.01
19530,7.67,0.01
19534,9.41,0.01
19555,11.15,0.02
19584,11.98,0.06
19600,12.29,0.06
19614,17.49,0.01
19615,19.09,0.05
19629,2.1,0.01
19630,2.57,0.0
19637,20.69,1.13
19640,16.85,0.12
19653,15.78,0.03
19654,11.74,0.13
19665,7.3,0.04
19669,4.29,0.01
19670,3.69,0.01
19671,5.88,0.02
19672,6.77,0.02
19676,18.59,0.11
19680,26.07,0.49
19681,20.95,0.23
19682,19.58,0.14
19683,20.43,0.17
19684,18.66,0.13
19685,18.05,0.18
19686,19.93,0.19
19687,21.18,0.13
19688,15.9,0.06
19689,23.12,0.28
19690,0.03,0.0
19691,18.19,0.2
19692,24.52,0.27
19693,31.39,0.33
19696,20.59,0.22
19697,20.59,0.17
19700,2.02,0.0
19755,22.89,0.05
19777,12.65,0.12
19778,12.48,0.12
19779,12.14,0.13
19780,8.41,0.1
19781,8.41,0.1
19803,19.84,0.09
19808,8.33,0.01
19822,7.2,0.11
19824,1.84,0.02
19855,18.47,0.03
19869,3.62,0.03
19871,4.18,0.01
19872,4.18,0.01
19873,3.22,0.02
19874,4.18,0.01
