cycle_id,pond_id,species_id,total_seed,area,initial_age,limit_weight_per_area,target_cultivation_day,target_size,pond_size,padat_tebar,total_feed,avg_feed_per_day,avg_growth_feed,size_harvest,weight_harvest,total_harvested,selling_price,cycle_lead_time,harvest_time,total_seed_type_actual,total_seed_type_gross,total_seed_type_net,pond_name_A,pond_name_A1,pond_name_A2,pond_name_A3,pond_name_A4,pond_name_Other,survival_rate,survival_rate_pred,avg_body_weight,avg_body_weight_pred
4239,13226,1,223488,2384.0,0,1.25,120,45.0,314.06,70188864.77,3305.0,31.78,0.45,41.0,1433.03,58754,33729000,105,105,0,0,1,0,0,0,0,0,1,26.29,27.09,14.94,15.848266590581185
4241,13228,1,213316,3094.0,0,1.25,120,45.0,314.06,66994236.28,2870.0,27.6,0.38,37.0,1147.79,42468,33729000,105,105,0,0,1,0,0,0,0,0,1,19.91,19.9,15.94,15.76825999499898
4253,12886,1,168750,16000.0,0,1.25,120,45.0,1000.01,168751501.88,345.0,11.5,1.17,330.0,400.0,132000,33729000,31,31,0,0,1,0,0,0,0,0,1,78.22,78.55,2.0,3.5075997731897726
4309,12686,1,170000,600.0,0,1.25,120,45.0,599.82,101969196.0,3207.3,38.64,0.78,152.0,2270.0,128450,33729000,84,84,0,0,1,0,0,0,0,0,1,75.56,76.36,17.57,14.364375018465791
4442,15091,1,98544,2500.0,0,1.25,100,60.0,2000.0,197088000.0,2456.6,26.7,0.47,57.0,1445.0,82365,33729000,99,99,0,0,1,0,0,0,0,0,1,83.58,82.25,11.95,12.125677848970208
4446,11712,1,100000,2000.0,0,1.25,120,60.0,2000.02,200001720.0,2236.7,23.3,0.45,68.0,1118.5,76058,33729000,103,103,0,0,1,0,0,0,0,0,1,76.06,75.69,8.51,10.84105532318745
4491,12224,1,90000,625.0,1,1.2,120,45.0,600.0,54000000.0,363.4,10.69,0.53,400.0,130.0,52000,33729000,35,35,0,0,1,0,0,0,0,0,1,57.78,59.24,2.5,3.4217591161157954
4514,12222,1,108000,625.0,1,1.25,120,45.0,644.01,69553512.0,467.0,9.34,0.04,364.0,600.0,107000,33729000,52,52,0,0,1,0,0,0,0,0,1,99.07,98.18,5.38,5.2304214963301785
4515,14370,1,180000,1000.0,1,1.25,120,45.0,1323.0,238140000.0,683.9,13.68,0.11,400.0,765.0,153000,33729000,50,50,0,0,1,0,0,0,0,0,1,85.0,85.78,4.5,4.904185500046022
4551,12685,1,115200,800.0,0,1.2,120,45.0,726.8,83727360.0,420.0,9.77,0.37,214.0,305.0,65270,33729000,44,44,0,0,1,0,0,0,0,0,1,56.66,56.95,3.52,4.112545487847063
