cycle_id,survival_rate_pred,avg_body_weight_pred,biomass_pred,revenue_pred
3458,77.67,13.01349063704657,5790830.29,192936665524447.12
3459,77.55,13.35601035287097,5903969.76,196639501843519.25
4044,88.47,12.328660561551745,2290473.2,77591619790427.16
4045,88.64,12.095261765698467,2447478.33,82666193955576.95
4046,88.86,12.803390591266888,1946002.07,65821376051816.95
4047,92.23,11.706437373599051,2446937.85,83331781788300.02
4048,89.55,11.960111311452996,2791607.22,95815081617021.64
4181,84.02,5.243548376125222,447561.44,15153686287947.08
4233,64.3,5.574501043518172,1250690.65,43753827661449.26
4238,8.65,15.826392189717462,315032.7,10629415373941.11
4239,27.09,15.848266590581185,943563.06,31688958745518.84
4241,19.9,15.76825999499898,710722.46,24239534982518.21
4253,78.55,3.507599773189773,471245.92,16024019564987.04
4309,76.36,14.364375018465791,1700424.89,58598659491403.28
4442,82.25,12.125677848970208,967014.42,33293055201406.05
4446,75.69,10.84105532318745,782594.13,27640077725966.22
4491,59.24,3.4217591161157954,161032.04,5473073812916.7
4514,98.18,5.2304214963301785,534656.67,18224861718458.3
4515,85.78,4.904185500046022,763808.76,26162324099128.0
4551,56.95,4.112545487847063,286951.71,9667295619545.32
4750,96.98,10.696642048881342,450100.02,15226700435311.12
4751,98.34,10.486033274050506,452302.43,15244698085313.51
4887,99.28,6.510434442429633,436089.33,15040918765059.34
4896,81.69,4.569982690580257,251143.6,8388765181479.8
4938,72.1,4.684762794976495,259547.04,4285214180699.54
4946,59.8,6.941291308242606,882177.2,30045587154223.22
5222,66.03,15.719656753883374,2443517.71,694726653612416.8
5223,71.54,14.540079832289166,4310098.74,2069222744826282.5
5435,42.42,5.946626898137263,909736.71,63637912689229.45
5677,52.45,13.385280196898467,1079652.16,36676198306374.86
5731,80.68,9.170614926952128,721024.7,25112326532054.05
5902,83.46,15.96058449425504,938644.86,94299274722705.55
5903,82.9,15.980439556262745,954700.24,108732695350359.42
5918,96.2,15.868179340746694,1220872.58,189971980925311.6
5919,43.91,16.18473735567052,611734.92,62295099024692.52
5920,56.95,14.112672124273644,621913.81,41844230272574.43
5921,65.22,14.22747732884991,676342.94,56288703357338.99
6431,35.69,5.515997598629585,334363.57,11406512742878.15
6628,89.93,5.056856451405893,933026.53,31955936375859.16
6952,99.41,6.118724574302114,388570.11,13377215372530.71
7130,97.1,5.772550811127866,1147833.9,39356013982098.96
7273,58.91,10.671747276447318,423219.9,15639790014927.4
7276,54.95,10.724138843121382,437195.74,17999287205303.98
7277,43.25,10.764682776018548,382812.86,13758813696890.55
7289,39.93,9.660379422869006,284917.7,7557006495143.34
7293,60.1,10.87088225661335,499776.31,26184782413799.56
7303,52.13,10.891275410062068,437547.57,18490023211775.34
7605,49.77,9.821354432283064,2473515.21,318142316277521.25
7617,60.6,6.863381600400991,1829187.57,61832151455364.17
7622,71.84,10.931406159896742,1090791.26,36975400662524.43
7876,74.98,11.111561791983386,2016759.75,68565735318477.08
7991,99.05,12.485324982928857,4203849.16,2660125605062589.0
7995,94.34,10.238379043386244,122890.07,2030178075699.05
7996,82.92,11.299972481200712,121812.74,1999211723900.19
7997,91.34,7.12220845976578,387941.98,10923593567189.62
7998,86.99,12.200150062408346,258933.18,8887550246195.18
7999,96.09,12.001712786503573,323723.29,14105264160477.05
8000,99.28,11.948736040702787,4693295.18,3097556936959063.5
8005,92.19,11.141802825937392,6069936.66,4569543881722000.0
8006,99.4,12.123459129241215,3783311.78,1522460284657678.5
8008,94.0,12.074133342877449,6317277.75,4525287888393386.0
8011,97.39,12.773667904254172,5969905.91,4621550149224356.0
8012,98.52,12.332574978757473,2800416.0,1104696603880190.1
8013,89.64,12.355062620356932,3485531.55,1476554581332329.5
8014,98.65,12.642039392581095,1311253.96,251010320211042.03
8092,45.21,4.239941591924556,248892.47,85569470.28
8259,81.45,9.124574438606054,3900894.68,841314339601683.5
8265,61.42,8.68221137866219,3258680.82,496971231622793.1
8266,30.89,10.67853632657319,1636971.79,188056668290557.62
8292,98.8,5.195957834586866,553705.24,19160986236105.24
8475,99.37,5.761746477506411,428857.8,14572040203964.86
8578,69.98,5.058077309561929,835405.68,445488830.7
8716,98.58,4.687065853685355,552373.02,311640389.92
8985,60.45,17.203436604620876,3232635.22,1493957521129837.0
8988,96.16,3.999306400070375,85217.57,29875538.13
9057,77.1,4.452029155752631,439514.07,103788321.27
9058,97.34,4.998681062348954,406256.09,213816773.03
9090,81.5,10.649892156459089,2657226.47,228769376498676.2
9091,76.72,10.858598911069434,2567669.35,224969851603628.16
9093,84.68,10.523599535381909,2709221.48,241491922609396.97
9094,75.17,10.621667104272143,2038440.83,130511120869948.64
9095,80.39,10.601449083244177,2607674.27,235788779162344.75
9096,69.14,11.204416462317774,2474431.54,249955602934427.03
9097,73.43,10.982947486171373,2539466.0,229059137834031.72
9098,80.04,10.471170405918176,2585369.41,195248985356273.75
9100,81.23,10.429727465234572,2070886.06,136021393345566.42
9101,73.77,10.740864060171988,2524706.22,224632489519766.97
9102,98.52,11.65877431747928,2031430.15,176463372236281.84
9103,99.51,11.688432794326502,2089449.77,178633701980081.75
9104,90.34,12.518856221946706,2852637.43,365153566950784.2
9105,92.68,11.29945130688584,3293499.18,329717684255467.9
9106,93.57,10.738768550782872,2452565.56,143349878564499.53
9399,35.68,4.352745331904649,183990.21,971569114979.03
9545,23.8,9.041858275921538,551770.78,31499973103582.84
9585,65.4,5.691978614731359,292162.55,4736174871068.28
9877,87.97,6.825040580310218,718619.6,27692482538359.84
9921,31.67,4.858854845436067,99987.72,386912445382.7
9984,99.66,8.694080774268025,456410.16,197634677.7
9989,55.05,8.911372383151479,342896.98,14327108054843.46
9993,75.84,13.453510400381203,986742.18,99803085388575.55
9996,68.89,9.500849560056668,241007.44,8225568855872.46
9998,16.03,8.989159320076645,112955.63,3689033002760.44
10000,80.6,4.1878632121029415,323359.2,5682660408835.98
10004,98.5,8.482111296007902,1948893.63,670938072216039.8
10005,93.22,8.667474577632541,654178.48,53826377860768.03
10010,99.83,14.149191572293372,1422934.91,203459715611095.62
10026,98.18,4.929602420308444,124796.86,46870684.24
10027,98.95,6.478919410686498,197866.88,2399516999194.19
10028,98.41,10.960579872910456,564920.96,27405461590473.58
10029,99.19,11.123092032019832,487666.24,23554862051510.53
10030,84.15,10.45288295340523,801339.09,31551741451401.5
10031,99.84,11.172091396522152,580482.16,26408036778661.12
10042,99.07,10.759238558657367,1975113.38,477448416162547.6
10043,99.16,10.471000072451766,1337853.09,189827274542535.6
10044,99.08,11.496540231850036,1296845.3,247989610448914.2
10046,75.18,10.268299507664102,301765.72,8937214144100.91
10070,69.05,16.87609427108568,3524351.78,1681383495099096.2
10071,63.09,17.395924205307228,3444081.59,1610958806226433.2
10072,65.32,17.095654892637327,3481401.3,1674687179142112.8
10191,40.85,7.483012229544621,134378.33,1594587037710.85
10195,62.08,15.10223930247585,951995.72,109907592972310.92
10196,69.55,12.974752436706884,840630.32,75180076947556.6
10197,66.66,13.97302198964162,1219974.16,182200252140694.97
10198,46.29,9.737702853482933,396353.23,14649261714107.99
10200,17.9,7.489682640867101,124642.32,1737217607928.26
10201,82.17,8.528835812200636,415903.26,19580703116586.64
10241,88.99,9.268527936317495,648286.95,43892727362964.48
10242,95.86,13.784356609196037,974993.48,84391534950838.4
10258,47.72,3.895694554655584,82792.88,283015074537.73
10358,98.81,3.7353836959856768,521545.44,7992872294569.07
10366,99.92,11.49291383731822,969311.09,87985449716001.34
10367,98.91,8.883185800174015,1023503.52,77451522947173.27
10371,99.69,4.933703945031574,589280.59,22075741868168.26
10400,80.65,12.301224918782063,2755626.65,945446576787336.8
10408,99.79,4.485969976887865,471589.0,9123259267569.98
10414,33.05,12.968687022252771,447898.98,27208984338190.31
10703,42.23,10.772425552992766,1216385.46,872752.42
10704,45.47,10.907045071625005,1546252.91,997190.48
10705,45.91,10.770875709807624,1148326.5,1115354591.82
10706,37.11,10.079131835827578,779764.57,3077214032.67
10710,36.69,10.325928209739615,814439.16,872752.42
10711,37.03,10.728597044224845,1028191.71,872752.42
10712,37.6,10.51402657248798,881697.44,872752.42
10713,28.49,9.985497885298257,514872.15,996672.66
10714,26.74,11.38959071415158,769266.16,872752.42
10718,99.11,14.845571982648694,1343414.6,18367874063.34
10719,99.19,14.659253513147783,1024294.55,18556347527.0
10737,96.03,7.9144376049121075,1021563.45,66568744953176.22
10759,32.0,9.301295704505328,388385.57,19447692063157.52
10763,99.79,6.635953030677753,716276.62,33523910454376.89
10764,89.69,4.761488017895852,97113.84,557923568751.21
10771,70.37,9.88299300762074,2580477.23,87021080202747.4
10772,75.0,9.241601621766884,2886286.54,98253982624591.81
10984,18.36,7.501135626391354,96964.56,978372601434.63
10985,54.44,3.137297694595344,186158.35,829487342847.38
11017,96.98,11.5678014852084,567453.77,43238454685672.36
11042,25.32,5.79096068083084,158663.37,2109356048712.08
11044,45.41,6.310515047337391,309110.96,6908686023178.67
