cycle_id,size,weight,total_harvested,selling_price,harvested_at
9091,612.5,3915.38,238565.94,87454674.74,2021-07-29
9093,653.04,4191.4,269248.89,87158534.3,2021-07-29
9094,677.45,2950.58,189446.12,64856424.0,2021-07-29
9095,648.16,4115.18,252482.63,91220725.0,2021-07-30
9096,547.92,4004.08,215789.76,101499927.41,2021-07-29
9097,592.39,3961.34,227871.53,90223252.67,2021-07-30
9098,712.21,3689.1,251747.47,80283275.99,2021-07-30
9100,706.03,3060.53,204925.06,66416388.36,2021-07-29
9101,645.67,3752.97,228742.71,88205941.52,2021-07-30
9102,524.88,3473.36,185764.89,84159491.45,2021-07-28
9103,537.58,3618.35,196916.72,82914679.75,2021-07-28
9104,443.08,4989.19,228335.76,125774091.56,2021-07-28
9105,557.7,5081.07,292795.08,112531507.48,2021-07-28
9106,645.56,3764.06,235102.95,63431381.84,2021-07-28
9112,180.0,110.0,19800.0,4510000.0,2021-05-28
9399,1215.0,172.0,41325.0,5670000.0,2021-07-15
9481,400.0,84.0,33600.0,84.0,2021-06-19
9482,400.0,150.0,30000.0,150.0,2021-06-27
9484,200.0,50.0,10000.0,50.0,2021-06-20
9505,200.0,92.0,18400.0,3220000.0,2021-06-16
9516,250.0,95.0,23750.0,95.0,2021-06-04
9522,325.0,153.5,25275.0,153.5,2021-06-21
9545,371.0,835.09,61963.68,56916189.32,2021-07-15
9585,310.0,350.0,53500.0,15550000.0,2021-06-30
9590,200.0,86.0,17200.0,86.0,2021-06-11
9665,210.0,85.0,17850.0,3198000.0,2021-06-26
9877,271.0,820.0,109573.0,38289000.0,2021-07-19
9921,390.0,102.0,20965.0,3806000.0,2021-07-24
9981,200.0,137.0,27400.0,6576000.0,2021-07-01
9984,168.0,676.0,55936.0,444.0,2021-07-29
9987,110.0,440.0,48400.0,50000.0,2021-06-07
9989,323.0,620.0,33160.0,42420000.0,2021-07-29
9990,108.0,700.0,75600.0,36120000.0,2021-07-10
9992,110.0,140.0,15400.0,,2021-07-18
9993,185.0,1372.5,76288.0,101897500.0,2021-09-02
9994,170.0,93.0,15810.0,,2021-06-21
9996,78.0,342.0,26676.0,,2021-06-09
9997,180.0,604.3,108774.0,41000.0,2021-06-03
9998,53.0,210.0,11130.0,,2021-07-15
10000,220.0,360.0,79200.0,18720000.0,2021-06-15
10004,508.21,4434.5,242063.25,339670610.0,2021-08-12
10005,190.8,1141.0,70980.8,82541210.0,2021-07-10
10010,473.0,1932.0,126320.0,141095600.0,2021-09-11
10017,203.0,450.96,30534.9,33251340.0,2021-07-09
10018,263.0,467.85,40577.5,28895000.0,2021-07-09
10019,250.0,374.5,28561.5,23823800.0,2021-07-21
10022,281.0,357.25,30980.5,21026500.0,2021-07-17
10023,200.0,150.0,30000.0,4500000.0,2021-07-03
10025,190.0,150.0,28500.0,4500000.0,2021-07-04
10026,190.0,150.0,28500.0,150.0,2021-07-04
10027,270.0,250.0,34500.0,11750000.0,2021-07-21
10028,270.0,797.0,59359.0,48259000.0,2021-07-26
10029,253.0,748.0,52458.0,49434000.0,2021-07-26
10030,394.0,866.0,84745.0,39397008.09,2021-07-31
10031,394.7,816.5,77999.4,45032000.0,2021-07-31
10041,452.0,1900.0,142034.0,132059000.0,2021-10-25
10042,357.0,3525.0,208223.0,242905000.0,2021-09-22
10043,381.0,2177.0,143474.0,138972000.0,2021-09-23
10044,344.5,2469.0,117743.0,200082200.0,2021-10-24
10046,228.0,450.7,30339.0,31787380.0,2021-08-15
10070,247.68,5600.76,222239.27,491733577.0,2021-11-23
10071,232.07,5175.98,199818.0,466258704.0,2021-11-24
10072,236.46,5405.53,209932.35,483479284.0,2021-11-23
10089,250.0,90.0,22500.0,90.0,2021-07-09
10090,150.0,17.0,2550.0,17.0,2021-07-28
10091,250.0,65.0,16250.0,65.0,2021-07-22
10166,200.0,90.0,18000.0,3150000.0,2021-07-23
10169,800.0,47.5,19000.0,1472500.0,2021-07-20
10175,300.0,40.0,12000.0,40.0,2021-07-05
10191,263.33,220.0,15833.0,11470000.0,2021-08-21
10195,304.0,1422.99,62173.26,116469944.0,2021-10-07
10196,173.0,1193.75,64281.25,91685125.0,2021-07-28
10197,348.0,1842.22,84731.52,146950342.59,2021-09-15
10198,468.0,551.79,41353.36,37024428.0,2021-07-28
10200,169.0,213.3,15303.6,13759380.0,2021-09-04
10201,318.0,731.52,49088.1,46429056.0,2021-09-25
10203,114.0,800.0,44300.0,57950000.0,2021-09-30
10241,139.0,1026.0,70122.0,67164000.0,2021-09-08
10242,236.0,1204.0,76140.0,86998000.0,2021-09-25
10258,370.0,106.92,19780.2,3232900.0,2021-08-21
10357,150.0,5.0,750.0,5.0,2021-07-30
10358,1190.0,464.0,183480.0,13880000.0,2021-08-03
10360,650.0,264.0,55050.0,12312000.0,2021-07-29
10366,289.0,1404.0,113918.0,89902000.0,2021-09-04
10367,305.0,1381.0,135650.0,75712000.0,2021-08-30
10369,290.0,856.71,115640.7,47975760.0,2021-07-30
10371,237.0,1080.0,255960.0,35640000.0,2021-07-30
10384,200.0,95.0,19000.0,3325000.0,2021-07-25
10400,239.0,4532.0,224484.0,342444000.0,2021-09-29
10408,220.0,525.0,115500.0,18375000.0,2021-08-16
10414,43.0,750.0,32250.0,63900000.0,2021-10-01
10535,318.0,109.5,17415.0,52.5,2021-08-15
10636,130.0,90.0,11700.0,90.0,2021-08-29
10639,400.0,40.0,16000.0,40.0,2021-08-30
10703,116.22,1895.78,106044.93,0.0,2021-08-17
10704,122.18,2322.84,136630.02,0.0,2021-08-17
10705,125.53,1700.56,102190.6,0.0,2021-08-17
10706,155.66,1026.46,76946.72,0.0,2021-08-17
10710,149.52,1140.25,79332.56,0.0,2021-08-17
10711,119.95,1536.21,86921.08,0.0,2021-08-17
10712,139.53,1241.44,79856.24,0.0,2021-08-17
10713,142.37,782.68,52105.02,0.0,2021-08-17
10714,115.23,1139.48,66103.94,0.0,2021-08-17
10718,491.0,1707.42,102148.7,0.0,2021-09-25
10719,489.0,1353.94,77000.14,0.0,2021-09-25
10737,329.0,1262.0,145124.0,63853600.0,2021-08-23
10755,500.0,100.0,50000.0,3600000.0,2021-08-17
10757,250.0,90.0,22500.0,3150000.0,2021-08-17
10759,108.0,693.0,37851.0,48963200.0,2021-10-01
10763,387.0,1008.0,124355.0,47534000.0,2021-08-28
10764,301.0,134.0,18166.0,5986000.0,2021-08-29
10771,651.48,3813.29,264132.56,,2021-10-05
10772,552.67,4324.13,328033.96,,2021-09-28
10809,300.0,125.0,37500.0,125.0,2021-09-01
10811,500.0,35.0,8750.0,35.0,2021-08-14
10857,130.0,150.0,19500.0,6600000.0,2021-08-29
10896,360.0,80.5,14490.0,80.5,2021-08-25
10897,170.0,73.0,12410.0,73.0,2021-08-19
