pond_id,farm_id,length,width,deep,pond_size,regency
,,,,,,
,,,,,,LAMPUNG SELATAN
,,,,,,PIDIE JAYA
,,,,,,LAMPUNG SELATAN
,,,,,,
,,,,,,CILACAP
,,,,,,BREBES
,,,,,,BANYUWANGI
,,,,,,BANTUL
,,,,,,CILACAP
,,,,,,POHUWATO
,,,,,,PURWOREJO
,,,,,,CILACAP
,,,,,,BANYUWANGI
,,,,,,BULELENG
,,,,,,CIREBON
,,,,,,
,,,,,,JEMBER
,,,,,,JEMBRANA
,,,,,,JEMBER
,,,,,,JEMBER
,,,,,,PURWOREJO
,,,,,,BANYUWANGI
,,,,,,SAMPANG
,,,,,,BANYUWANGI
,,,,,,PURWOREJO
,,,,,,
,,,,,,JEMBRANA
,,,,,,JEMBRANA
,,,,,,DONGGALA
,,,,,,BONE BOLANGO
,,,,,,BANYUWANGI
,,,,,,SITUBONDO
,,,,,,BANYUWANGI
,,,,,,PEMALANG
,,,,,,BANYUWANGI
,,,,,,PANGANDARAN
,,,,,,JEMBER
,,,,,,PEMALANG
,,,,,,PANGANDARAN
,,,,,,
,,,,,,
,,,,,,JEMBER
,,,,,,LAMPUNG UTARA
,,,,,,BANGKA
,,,,,,PANDEGLANG
,,,,,,PURWOREJO
,,,,,,CILACAP
,,,,,,
,,,,,,
,,,,,,PURWOREJO
,,,,,,PURWOREJO
,,,,,,CILACAP
,,,,,,JEMBRANA
,,,,,,JEMBRANA
,,,,,,PURWOREJO
,,,,,,KEBUMEN
,,,,,,TULANGBAWANG
,,,,,,PEMALANG
,,,,,,CIREBON
,,,,,,
,,,,,,BANGKALAN
,,,,,,PURWOREJO
,,,,,,
,,,,,,
,,,,,,
,,,,,,BANYUWANGI
,,,,,,
,,,,,,
,,,,,,JEMBER
,,,,,,JEMBER
,,,,,,
,,,,,,BANYUWANGI
,,,,,,PURWOREJO
,,,,,,BENGKALIS
,,,,,,BANGKA
,,,,,,BANTUL
,,,,,,BANYUWANGI
,,,,,,TULANGBAWANG
,,,,,,BANYUWANGI
,,,,,,
,,,,,,
,,,,,,CIREBON
,,,,,,PACITAN
,,,,,,BANYUWANGI
,,,,,,PURWOREJO
,,,,,,BANYUWANGI
,,,,,,CILACAP
,,,,,,
,,,,,,KARANG ASEM
,,,,,,BANGKA SELATAN
,,,,,,BANYUWANGI
,,,,,,PEMALANG
,,,,,,
,,,,,,TULANGBAWANG
,,,,,,CILACAP
,,,,,,JEMBER
,,,,,,SITUBONDO
,,,,,,PESISIR SELATAN
,,,,,,PURWOREJO
,,,,,,
,,,,,,BANYUWANGI
,,,,,,
,,,,,,BULUKUMBA
,,,,,,CILACAP
,,,,,,CIREBON
,,,,,,
,,,,,,CILACAP
,,,,,,JEMBER
,,,,,,
,,,,,,BANYUWANGI
,,,,,,
,,,,,,JEMBER
,,,,,,DONGGALA
,,,,,,BANYUWANGI
,,,,,,BANYUWANGI
,,,,,,BANGKALAN
,,,,,,PACITAN
,,,,,,
,,,,,,BANYUWANGI
,,,,,,BANYUWANGI
,,,,,,PESAWARAN
,,,,,,SUBANG
,,,,,,BANYUWANGI
,,,,,,JEMBRANA
,,,,,,JEMBRANA
,,,,,,TULANGBAWANG
,,,,,,PURWOREJO
,,,,,,
,,,,,,BANYUWANGI
,,,,,,PURWOREJO
,,,,,,
,,,,,,BANYUWANGI
,,,,,,CILACAP
,,,,,,PIDIE JAYA
,,,,,,
,,,,,,JEMBER
,,,,,,JEPARA
,,,,,,PURWOREJO
,,,,,,BANYUWANGI
,,,,,,JEMBER
,,,,,,
,,,,,,PEMALANG
,,,,,,PANGANDARAN
,,,,,,PASURUAN
,,,,,,BANYUWANGI
,,,,,,BANYUWANGI
,,,,,,PEMALANG
,,,,,,
,,,,,,BANYUWANGI
,,,,,,PESAWARAN
,,,,,,PURWOREJO
,,,,,,CIREBON
,,,,,,PROBOLINGGO
,,,,,,
,,,,,,AGAM
,,,,,,PURWOREJO
,,,,,,BANYUWANGI
,,,,,,CILACAP
,,,,,,CIREBON
,,,,,,
,,,,,,BADUNG
,,,,,,JEMBER
,,,,,,BANYUWANGI
,,,,,,BANYUWANGI
,,,,,,PEMALANG
,,,,,,JEMBER
,,,,,,
,,,,,,PADANG PARIAMAN
,,,,,,BANYUWANGI
,,,,,,BANYUWANGI
,,,,,,LAMPUNG SELATAN
,,,,,,BANYUWANGI
,,,,,,AGAM
,,,,,,CIREBON
,,,,,,JEMBRANA
,,,,,,SUMBAWA
,,,,,,DEMAK
,,,,,,CILACAP
,,,,,,CIREBON
,,,,,,JEMBER
,,,,,,SUMENEP
,,,,,,
,,,,,,
,,,,,,PIDIE
,,,,,,TASIKMALAYA
,,,,,,CIREBON
,,,,,,PACITAN
,,,,,,BANYUWANGI
,,,,,,PEMALANG
,,,,,,CILACAP
,,,,,,SITUBONDO
,,,,,,
,,,,,,JEMBER
,,,,,,
,,,,,,BANTUL
,,,,,,JEMBRANA
,,,,,,JEMBER
,,,,,,BENGKALIS
,,,,,,
,,,,,,SUBANG
,,,,,,BANYUWANGI
,,,,,,PURWOREJO
,,,,,,BANYUWANGI
,,,,,,CIREBON
,,,,,,
,,,,,,PURWOREJO
,,,,,,DONGGALA
,,,,,,BANYUWANGI
,,,,,,BARRU
,,,,,,PEMALANG
,,,,,,PURWOREJO
,,,,,,CIREBON
,,,,,,KENDAL
,,,,,,JEMBER
,,,,,,MINAHASA SELATAN
,,,,,,BANYUWANGI
,,,,,,PURWOREJO
,,,,,,
,,,,,,PEMALANG
,,,,,,
,,,,,,SERANG
,,,,,,PURWOREJO
,,,,,,BANYUWANGI
,,,,,,PURWOREJO
,,,,,,JEMBRANA
,,,,,,PEMALANG
,,,,,,JEMBRANA
,,,,,,BANYUWANGI
,,,,,,CILACAP
,,,,,,JEMBRANA
,,,,,,LAMONGAN
,,,,,,PACITAN
,,,,,,BANYUWANGI
,,,,,,BARRU
,,,,,,BANYUWANGI
,,,,,,BANYUWANGI
,,,,,,KEBUMEN
,,,,,,CILACAP
,,,,,,
,,,,,,
,,,,,,BANYUWANGI
,,,,,,BANYUWANGI
,,,,,,JEMBER
,,,,,,CILACAP
,,,,,,BANGKA SELATAN
,,,,,,PACITAN
,,,,,,PEMALANG
,,,,,,
,,,,,,CILACAP
,,,,,,JEMBRANA
,,,,,,SUMENEP
,,,,,,
,,,,,,
,,,,,,TEGAL
,,,,,,BANYUWANGI
,,,,,,INDRAMAYU
,,,,,,JEMBRANA
,,,,,,JEMBRANA
,,,,,,JEMBER
,,,,,,JEMBER
,,,,,,JEMBER
,,,,,,CILACAP
,,,,,,PASURUAN
,,,,,,CILACAP
,,,,,,JEMBER
,,,,,,KENDAL
,,,,,,BANYUWANGI
,,,,,,JEMBRANA
,,,,,,JEMBER
,,,,,,BANGKA
,,,,,,PACITAN
,,,,,,BANYUWANGI
,,,,,,JEMBRANA
,,,,,,CIREBON
,,,,,,JEMBER
,,,,,,JEMBER
,,,,,,PURWOREJO
,,,,,,BANYUWANGI
,,,,,,BANYUWANGI
,,,,,,SITUBONDO
,,,,,,PURWOREJO
,,,,,,PEMALANG
,,,,,,KENDAL
,,,,,,CIREBON
,,,,,,JEMBRANA
,,,,,,JEMBER
,,,,,,PROBOLINGGO
,,,,,,SITUBONDO
,,,,,,BANYUWANGI
,,,,,,PURWOREJO
,,,,,,CIREBON
,,,,,,JEMBRANA
,,,,,,
,,,,,,JEMBER
,,,,,,LAMPUNG TIMUR
,,,,,,SUMENEP
,,,,,,JEPARA
,,,,,,BANYUWANGI
,,,,,,SUMENEP
,,,,,,SUBANG
,,,,,,PACITAN
,,,,,,KENDAL
,,,,,,PANGANDARAN
,,,,,,PEMALANG
,,,,,,BANYUWANGI
,,,,,,CIREBON
,,,,,,CILACAP
,,,,,,CILACAP
,,,,,,JEMBRANA
,,,,,,
,,,,,,CILACAP
,,,,,,
,,,,,,
,,,,,,
,,,,,,JEMBER
,,,,,,BANYUWANGI
,,,,,,CIREBON
,,,,,,PURWOREJO
